# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.720776116037e+05       2.535943136381e-08       2.680281710214e+00       6.451645917614e+04       1.266735706498e+04       7.361378004464e-02       2.179781216431e+09       1.545964523210e+00       2.412607342786e+09       1.249088462963e+07       6.824857896309e+07       2.985121549152e-08       1.668966702543e+09       4.162373504627e+09       5.999570510307e+04      -5.999560098664e+04      -9.999982646019e-01       5.999782648306e-02      -3.247830599317e-06       1.799869591346e+05       1.799869591346e+05       1.799869591346e+05       6.770805142538e-04       7.525458908211e-02 
       1.708813941185e+05       2.571454782313e-08       2.698952144032e+00       6.362692718427e+04       1.266733839455e+04       7.412898479036e-02       2.164625111970e+09       1.556722962941e+00       2.346217943646e+09       1.223219728914e+07       6.683514477426e+07       2.985121549152e-08       1.623040581619e+09       4.048385862913e+09       5.999558402178e+04      -5.999547697165e+04      -9.999982156998e-01       5.999776520674e-02      -3.316323693406e-06       1.799865914902e+05       1.799865914902e+05       1.799865914902e+05       6.774364260783e-04       7.541353635010e-02 
       1.696934919514e+05       2.607462896451e-08       2.717751995160e+00       6.274968916098e+04       1.266731959470e+04       7.464779468698e-02       2.149574363009e+09       1.567555829470e+00       2.281655412950e+09       1.197886732775e+07       6.545098261231e+07       2.985121549152e-08       1.578378231450e+09       3.937523489800e+09       5.999545953016e+04      -5.999534946376e+04      -9.999981654211e-01       5.999770220448e-02      -3.386259805703e-06       1.799862134909e+05       1.799862134909e+05       1.799862134909e+05       6.777932794004e-04       7.557366701623e-02 
       1.685138472998e+05       2.643974402535e-08       2.736682151781e+00       6.188457499304e+04       1.266730066454e+04       7.517023495268e-02       2.134628237187e+09       1.578463631520e+00       2.218869480206e+09       1.173078379569e+07       6.409548626206e+07       2.985121549152e-08       1.534944876474e+09       3.829700622069e+09       5.999533153227e+04      -5.999521836470e+04      -9.999981137271e-01       5.999763742773e-02      -3.457669295344e-06       1.799858248454e+05       1.799858248454e+05       1.799858248454e+05       6.781510811272e-04       7.573498838840e-02 
       1.673424027630e+05       2.680996320503e-08       2.755743508043e+00       6.103141692261e+04       1.266728160319e+04       7.569633098192e-02       2.119786007234e+09       1.589446881207e+00       2.157811258225e+09       1.148783804094e+07       6.276806206282e+07       2.985121549152e-08       1.492706698054e+09       3.724833851582e+09       5.999519992947e+04      -5.999508357346e+04      -9.999980605780e-01       5.999757082656e-02      -3.530583158868e-06       1.799854252544e+05       1.799854252544e+05       1.799854252544e+05       6.785098382162e-04       7.589750781356e-02 
       1.661791013390e+05       2.718535767818e-08       2.774936964110e+00       6.019004951463e+04       1.266726240973e+04       7.622610834669e-02       2.105046950937e+09       1.600506094058e+00       2.098433205054e+09       1.124992366158e+07       6.146812864839e+07       2.985121549152e-08       1.451630808145e+09       3.622842060573e+09       5.999506462036e+04      -5.999494498618e+04      -9.999980059329e-01       5.999750234965e-02      -3.605033043547e-06       1.799850144098e+05       1.799850144098e+05       1.799850144098e+05       6.788695576755e-04       7.606123267781e-02 
       1.650238864223e+05       2.756599960818e-08       2.794263426185e+00       5.936030962461e+04       1.266724308327e+04       7.675959279772e-02       2.090410351101e+09       1.611641789032e+00       2.040689086961e+09       1.101693645927e+07       6.019511669240e+07       2.985121549152e-08       1.411685223692e+09       3.523646358730e+09       5.999492550070e+04      -5.999480249609e+04      -9.999979497499e-01       5.999743194424e-02      -3.681051261008e-06       1.799845919952e+05       1.799845919952e+05       1.799845919952e+05       6.792302465646e-04       7.622617040652e-02 
       1.638767018009e+05       2.795196216080e-08       2.813723806570e+00       5.854203636697e+04       1.266722362289e+04       7.729681026571e-02       2.075875495517e+09       1.622854488547e+00       1.984533942437e+09       1.078877439356e+07       5.894846865905e+07       2.985121549152e-08       1.372838841720e+09       3.427170021992e+09       5.999478246330e+04      -5.999465599343e+04      -9.999978919856e-01       5.999735955608e-02      -3.758670801132e-06       1.799841576851e+05       1.799841576851e+05       1.799841576851e+05       6.795919119942e-04       7.639232846445e-02 
       1.627374916534e+05       2.834331951804e-08       2.833319023679e+00       5.773507108370e+04       1.266720402767e+04       7.783778686267e-02       2.061441676929e+09       1.634144718494e+00       1.929924047187e+09       1.056533753721e+07       5.772763855887e+07       2.985121549152e-08       1.335061415121e+09       3.333338433039e+09       5.999463539798e+04      -5.999450536535e+04      -9.999978325956e-01       5.999728512941e-02      -3.837925346242e-06       1.799837111450e+05       1.799837111450e+05       1.799837111450e+05       6.799545611272e-04       7.655971435582e-02 
       1.616062005465e+05       2.874014689218e-08       2.853050002097e+00       5.693925731351e+04       1.266718429669e+04       7.838254888307e-02       2.047108192995e+09       1.645513008266e+00       1.876816880083e+09       1.034652803245e+07       5.653209170960e+07       2.985121549152e-08       1.298323529105e+09       3.242079023414e+09       5.999448419147e+04      -5.999435049582e+04      -9.999977715343e-01       5.999720860689e-02      -3.918849285590e-06       1.799832520309e+05       1.799832520309e+05       1.799832520309e+05       6.803182011785e-04       7.672833562442e-02 
